sessionID;DNI;Telef;CP;duration_call_mins;funnel_Q;Producto
b'MC4zNTIyMjkyODczNzI4ODQ5NQ==';X61734151;632566551;28066;2.485993631671333;Chalet;
b'MC4zNTIyMjkyODczNzI4ODQ5NQ==';X61734151;632566551;28066;2.485993631671333;Unifamiliar;
b'MC4zNTIyMjkyODczNzI4ODQ5NQ==';X61734151;632566551;28066;2.485993631671333;Sin Rejas;
b'MC42NzQyNzE3NzczMDMyODM1';X61588112;646319047;28974;2.559412084629556;Chalet;
b'MC42NzQyNzE3NzczMDMyODM1';X61588112;646319047;28974;2.559412084629556;Unifamiliar;
b'MC42NzQyNzE3NzczMDMyODM1';X61588112;646319047;28974;2.559412084629556;Sin Rejas;
b'MC41OTQ2OTgwMzc0MDQ3MjM4';X67061561;666932439;28033;5.3875632383028655;Piso;
b'MC41OTQ2OTgwMzc0MDQ3MjM4';X67061561;666932439;28033;5.3875632383028655;Bajo;
b'MC41OTQ2OTgwMzc0MDQ3MjM4';X67061561;666932439;28033;5.3875632383028655;Con Rejas;
b'MC41OTQ2OTgwMzc0MDQ3MjM4';X67061561;666932439;28033;5.3875632383028655;Sin Perro;
b'MC42NDc0NzA3NzA1NDA2NDk1';X65284671;691952233;28755;15.081291667393604;Chalet;
b'MC42NDc0NzA3NzA1NDA2NDk1';X65284671;691952233;28755;15.081291667393604;Adosado;
b'MC42NDc0NzA3NzA1NDA2NDk1';X65284671;691952233;28755;15.081291667393604;Sin Rejas;
b'MC43MjEwNzc4MDM2MDY0ODI5';X65284671;691952233;28755;2.065275517529121;Chalet;
b'MC43MjEwNzc4MDM2MDY0ODI5';X65284671;691952233;28755;2.065275517529121;Adosado;
b'MC43MjEwNzc4MDM2MDY0ODI5';X65284671;691952233;28755;2.065275517529121;Sin Rejas;
b'MC43NDcyMzI5ODEyNTc4MTQ3';X65284671;691952233;28755;8.877735046283005;Chalet;
b'MC43NDcyMzI5ODEyNTc4MTQ3';X65284671;691952233;28755;8.877735046283005;Adosado;
b'MC43NDcyMzI5ODEyNTc4MTQ3';X65284671;691952233;28755;8.877735046283005;Sin Rejas;
b'MC44MjgzNzA0Nzg2NTcxMzA4';X65284671;691952233;28755;3.4227484952548624;Chalet;
b'MC44MjgzNzA0Nzg2NTcxMzA4';X65284671;691952233;28755;3.4227484952548624;Adosado;
b'MC44MjgzNzA0Nzg2NTcxMzA4';X65284671;691952233;28755;3.4227484952548624;Sin Rejas;
b'MC4xNDQ0ODM1OTY4MDgyMzYy';X29351224;625952114;28654;8.694222342312072;Piso;
b'MC4xNDQ0ODM1OTY4MDgyMzYy';X29351224;625952114;28654;8.694222342312072;Intermedio;
b'MC4xNDQ0ODM1OTY4MDgyMzYy';X29351224;625952114;28654;8.694222342312072;Con Perro;
b'MC41MDg0NTU1NDE3NTY5MjU2';X29351224;625952114;28654;8.97581432591752;Piso;
b'MC41MDg0NTU1NDE3NTY5MjU2';X29351224;625952114;28654;8.97581432591752;Intermedio;
b'MC41MDg0NTU1NDE3NTY5MjU2';X29351224;625952114;28654;8.97581432591752;Con Perro;
